Date,GLI,BTC
2021-06-15,162.87,40406.27
2021-06-22,162.96,32505.66
2021-06-29,163.03,35867.78
2021-07-05,163.09,33746.0
2021-07-13,163.17,32702.03
2021-07-20,163.26,29807.35
2021-07-27,163.36,39406.94
2021-08-03,163.46,38152.98
2021-08-10,163.66,45585.03
2021-08-17,163.84,44695.36
2021-08-24,164.05,47706.12
2021-08-31,164.22,47166.69
2021-09-07,164.38,46811.13
2021-09-14,164.42,47092.49
2021-09-21,164.42,40693.68
2021-09-28,164.43,41034.54
2021-10-05,164.45,51514.81
2021-10-12,164.7,56041.06
2021-10-19,165.05,64261.99
2021-10-26,165.35,60363.79
2021-11-02,165.66,63226.4
2021-11-09,165.93,66971.83
2021-11-16,165.86,60161.25
2021-11-24,165.77,56280.43
2021-11-30,165.67,57005.43
2021-12-07,165.87,50700.09
2021-12-14,166.13,46612.63
2021-12-21,166.45,48936.61
2021-12-28,166.79,47588.86
2022-01-04,167.08,45897.57
2022-01-11,167.25,42735.86
2022-01-18,167.36,42375.63
2022-01-25,167.49,36954.0
2022-02-01,167.64,38743.27
2022-02-08,167.9,44118.45
2022-02-15,168.15,44575.2
2022-02-22,168.35,38286.03
2022-03-02,168.55,43924.12
2022-03-08,168.69,38737.27
2022-03-15,168.63,39338.79
2022-03-22,168.57,42358.81
2022-03-29,168.53,47465.73
2022-04-05,168.39,45555.99
2022-04-12,167.82,40127.18
2022-04-19,167.15,41502.75
2022-04-26,166.48,38117.46
2022-05-03,165.78,37750.45
2022-05-10,164.85,31022.91
2022-05-17,164.6,30425.86
2022-05-24,164.37,29655.59
2022-05-31,164.15,31792.31
2022-06-07,163.81,31155.48
2022-06-14,163.65,22206.79
2022-06-21,163.49,20710.6
2022-06-28,163.33,20280.63
2022-07-05,163.16,20190.12
2022-07-12,163.07,19323.91
2022-07-19,162.97,23389.43
2022-07-26,162.88,21239.75
2022-08-02,162.74,22978.12
2022-08-09,162.5,23164.32
2022-08-16,162.32,23883.29
2022-08-23,162.15,21528.09
2022-08-30,161.94,19796.81
2022-09-06,161.34,18837.67
2022-09-13,160.89,20296.71
2022-09-20,160.44,18890.79
2022-09-27,159.96,19110.55
2022-10-04,159.49,20336.84
2022-10-12,159.28,19157.45
2022-10-18,159.08,19334.42
2022-10-25,158.85,20095.86
2022-11-01,158.69,20485.27
2022-11-08,158.93,18541.27
2022-11-15,159.44,16884.61
2022-11-22,159.97,16189.77
2022-11-29,160.5,16444.98
2022-12-06,161.08,17089.5
2022-12-13,161.63,17781.32
2022-12-20,162.25,16906.3
2022-12-27,162.83,16717.17
2023-01-03,163.4,16679.86
2023-01-10,164.83,17446.29
2023-01-17,165.5,21161.52
2023-01-24,166.22,22636.47
2023-01-31,166.9,23139.28
2023-02-07,167.31,23264.29
2023-02-14,167.1,22220.8
2023-02-21,166.82,24436.35
2023-02-28,166.53,23147.35
2023-03-07,166.49,22219.77
2023-03-14,166.71,24746.07
2023-03-21,166.95,28175.82
2023-03-28,167.2,27268.13
2023-04-04,167.41,28168.09
2023-04-11,167.57,30235.06
2023-04-18,167.77,30397.55
2023-04-25,167.92,28307.6
2023-05-02,168.03,28680.54
2023-05-09,167.82,27658.78
2023-05-16,167.46,27036.65
2023-05-23,167.05,27225.73
2023-05-30,166.6,27702.35
2023-06-06,166.05,27238.78
2023-06-13,165.89,25918.73
2023-06-20,165.74,28327.49
2023-06-27,165.58,30688.16
2023-07-04,165.47,30777.58
2023-07-11,165.67,30620.95
2023-07-18,165.92,29856.56
2023-07-25,166.2,29227.39
2023-08-01,166.45,29675.73
2023-08-08,166.59,29765.49
2023-08-15,166.38,29170.35
2023-08-22,166.2,26031.66
2023-08-29,166.02,27727.39
2023-09-05,165.82,25779.98
2023-09-12,165.58,25833.34
2023-09-19,165.34,27211.12
2023-09-26,165.12,26217.25
2023-10-03,164.86,27429.98
2023-10-10,164.69,27391.02
2023-10-17,164.76,28415.75
2023-10-24,164.8,33901.53
2023-10-31,164.9,34667.78
2023-11-07,165.43,35443.56
2023-11-14,166.07,35537.64
2023-11-21,166.75,35813.81
2023-11-28,167.47,37831.09
2023-12-05,168.12,44080.65
2023-12-12,168.78,41450.22
2023-12-19,169.35,42270.53
2023-12-26,169.88,42520.4
2024-01-02,170.43,44957.97
2024-01-09,170.9,46139.73
2024-01-16,170.77,43154.95
2024-01-23,170.54,39845.55
2024-01-30,170.37,42952.61
2024-02-06,170.25,43084.67
2024-02-13,170.26,49742.44
2024-02-20,170.28,52284.88
2024-02-27,170.3,57085.37
2024-03-05,170.34,63801.2
2024-03-12,170.24,71481.29
2024-03-19,170.17,61912.77
2024-03-26,170.09,69987.84
2024-04-02,170.01,65446.97
2024-04-09,169.93,69139.02
2024-04-16,169.94,63811.86
2024-04-23,169.93,66407.27
2024-04-30,169.96,60636.86
2024-05-06,170.63,63161.95
2024-05-14,171.38,61552.79
2024-05-21,172.22,70136.53
2024-05-28,173.16,68296.22
2024-06-04,173.95,70567.77
2024-06-11,173.91,67325.53
